V1	V(vd1)	I(D1)
-8.750000000000000e+01	-4.275496e+01	-4.474504e-02
-8.740000000000001e+01	-4.275014e+01	-4.464986e-02
-8.730000000000000e+01	-4.274532e+01	-4.455468e-02
-8.720000000000000e+01	-4.274050e+01	-4.445950e-02
-8.709999999999999e+01	-4.273568e+01	-4.436432e-02
-8.700000000000000e+01	-4.273086e+01	-4.426914e-02
-8.690000000000001e+01	-4.272604e+01	-4.417396e-02
-8.680000000000000e+01	-4.272122e+01	-4.407878e-02
-8.670000000000000e+01	-4.271640e+01	-4.398360e-02
-8.659999999999999e+01	-4.271158e+01	-4.388842e-02
-8.650000000000000e+01	-4.270676e+01	-4.379324e-02
-8.640000000000001e+01	-4.270194e+01	-4.369806e-02
-8.630000000000000e+01	-4.269712e+01	-4.360288e-02
-8.620000000000000e+01	-4.269230e+01	-4.350770e-02
-8.609999999999999e+01	-4.268748e+01	-4.341253e-02
-8.600000000000000e+01	-4.268266e+01	-4.331734e-02
-8.590000000000001e+01	-4.267783e+01	-4.322217e-02
-8.580000000000000e+01	-4.267301e+01	-4.312699e-02
-8.570000000000000e+01	-4.266819e+01	-4.303181e-02
-8.559999999999999e+01	-4.266337e+01	-4.293663e-02
-8.550000000000000e+01	-4.265855e+01	-4.284145e-02
-8.540000000000001e+01	-4.265372e+01	-4.274627e-02
-8.530000000000000e+01	-4.264890e+01	-4.265109e-02
-8.520000000000000e+01	-4.264408e+01	-4.255592e-02
-8.509999999999999e+01	-4.263926e+01	-4.246074e-02
-8.500000000000000e+01	-4.263444e+01	-4.236556e-02
-8.490000000000001e+01	-4.262962e+01	-4.227038e-02
-8.480000000000000e+01	-4.262479e+01	-4.217521e-02
-8.470000000000000e+01	-4.261997e+01	-4.208003e-02
-8.459999999999999e+01	-4.261515e+01	-4.198485e-02
-8.450000000000000e+01	-4.261032e+01	-4.188967e-02
-8.440000000000001e+01	-4.260550e+01	-4.179450e-02
-8.430000000000000e+01	-4.260068e+01	-4.169932e-02
-8.420000000000000e+01	-4.259586e+01	-4.160414e-02
-8.409999999999999e+01	-4.259103e+01	-4.150897e-02
-8.400000000000000e+01	-4.258621e+01	-4.141379e-02
-8.390000000000001e+01	-4.258139e+01	-4.131861e-02
-8.380000000000000e+01	-4.257656e+01	-4.122344e-02
-8.370000000000000e+01	-4.257174e+01	-4.112826e-02
-8.359999999999999e+01	-4.256691e+01	-4.103309e-02
-8.350000000000000e+01	-4.256209e+01	-4.093791e-02
-8.340000000000001e+01	-4.255727e+01	-4.084273e-02
-8.330000000000000e+01	-4.255244e+01	-4.074756e-02
-8.320000000000000e+01	-4.254762e+01	-4.065238e-02
-8.309999999999999e+01	-4.254279e+01	-4.055721e-02
-8.300000000000000e+01	-4.253797e+01	-4.046204e-02
-8.290000000000001e+01	-4.253314e+01	-4.036686e-02
-8.280000000000000e+01	-4.252832e+01	-4.027168e-02
-8.270000000000000e+01	-4.252349e+01	-4.017651e-02
-8.259999999999999e+01	-4.251867e+01	-4.008133e-02
-8.250000000000000e+01	-4.251384e+01	-3.998616e-02
-8.240000000000001e+01	-4.250901e+01	-3.989099e-02
-8.230000000000000e+01	-4.250419e+01	-3.979581e-02
-8.220000000000000e+01	-4.249936e+01	-3.970064e-02
-8.209999999999999e+01	-4.249454e+01	-3.960546e-02
