V2	V(n002)	I(R2)
Step Information: Vbb=0  (Step: 1/26)
5.000000000000000e-01	3.897356e-01	1.969007e-04
6.000000000000001e-01	4.896126e-01	1.971204e-04
7.000000000000001e-01	5.894900e-01	1.973393e-04
8.000000000000000e-01	6.893674e-01	1.975583e-04
9.000000000000000e-01	7.892448e-01	1.977772e-04
1.000000000000000e+00	8.891222e-01	1.979961e-04
1.100000000000000e+00	9.889996e-01	1.982150e-04
1.200000000000000e+00	1.088877e+00	1.984339e-04
1.300000000000000e+00	1.188754e+00	1.986529e-04
1.400000000000000e+00	1.288632e+00	1.988718e-04
1.500000000000000e+00	1.388509e+00	1.990907e-04
1.600000000000000e+00	1.488387e+00	1.993096e-04
1.700000000000000e+00	1.588264e+00	1.995285e-04
1.800000000000000e+00	1.688141e+00	1.997474e-04
1.900000000000000e+00	1.788019e+00	1.999662e-04
2.000000000000000e+00	1.887896e+00	2.001851e-04
2.100000000000000e+00	1.987774e+00	2.004040e-04
2.200000000000000e+00	2.087651e+00	2.006229e-04
2.300000000000000e+00	2.187529e+00	2.008418e-04
2.400000000000000e+00	2.287406e+00	2.010607e-04
2.500000000000000e+00	2.387284e+00	2.012796e-04
2.600000000000000e+00	2.487161e+00	2.014984e-04
2.700000000000000e+00	2.587038e+00	2.017173e-04
2.800000000000000e+00	2.686916e+00	2.019362e-04
2.900000000000000e+00	2.786793e+00	2.021550e-04
3.000000000000000e+00	2.886671e+00	2.023739e-04
3.100000000000000e+00	2.986548e+00	2.025928e-04
3.200000000000000e+00	3.086426e+00	2.028116e-04
3.300000000000000e+00	3.186303e+00	2.030305e-04
3.400000000000000e+00	3.286180e+00	2.032493e-04
3.500000000000000e+00	3.386058e+00	2.034682e-04
3.600000000000000e+00	3.485935e+00	2.036870e-04
3.700000000000000e+00	3.585813e+00	2.039058e-04
3.800000000000000e+00	3.685690e+00	2.041247e-04
3.900000000000000e+00	3.785568e+00	2.043435e-04
4.000000000000000e+00	3.885445e+00	2.045624e-04
4.100000000000001e+00	3.985322e+00	2.047812e-04
