time	V(n003)
2.625897385714236e-02	3.134468e+01
2.667750064285664e-02	2.933592e+01
2.681142921428521e-02	2.858809e+01
2.694535778571377e-02	2.779341e+01
2.707928635714234e-02	2.695189e+01
2.721321492857091e-02	2.606354e+01
2.734714349999948e-02	2.512834e+01
2.748107207142805e-02	2.414630e+01
2.761500064285662e-02	2.311743e+01
2.781031314285661e-02	2.155003e+01
2.784937564285661e-02	2.122662e+01
2.788843814285661e-02	2.090001e+01
2.792750064285661e-02	2.057026e+01
2.796656314285661e-02	2.023741e+01
2.799363846162546e-02	2.000492e+01
2.800849467638636e-02	1.987673e+01
2.802197804174610e-02	1.976001e+01
2.803635366230260e-02	1.963518e+01
2.806510490341560e-02	1.938432e+01
2.810416740341560e-02	1.904096e+01
2.814322990341559e-02	1.869473e+01
2.818229240341559e-02	1.834569e+01
2.822135490341559e-02	1.799389e+01
2.826041740341559e-02	1.763937e+01
2.829947990341559e-02	1.728220e+01
2.833854240341559e-02	1.692242e+01
2.837760490341559e-02	1.656010e+01
2.841666740341559e-02	1.619529e+01
2.845572990341559e-02	1.582803e+01
2.849479240341559e-02	1.545839e+01
2.853385490341559e-02	1.508643e+01
2.857291740341559e-02	1.471219e+01
2.861197990341558e-02	1.433573e+01
2.865104240341558e-02	1.395712e+01
2.869010490341558e-02	1.357640e+01
2.872916740341558e-02	1.319364e+01
2.876822990341558e-02	1.280890e+01
2.880729240341558e-02	1.242222e+01
2.884635490341558e-02	1.203368e+01
2.888541740341558e-02	1.164332e+01
2.892447990341558e-02	1.125120e+01
2.896354240341558e-02	1.085740e+01
2.900260490341558e-02	1.046196e+01
2.904166740341558e-02	1.006494e+01
2.908072990341557e-02	9.666407e+00
2.911979240341557e-02	9.266418e+00
2.915885490341557e-02	8.865034e+00
2.919791740341557e-02	8.462316e+00
2.923697990341557e-02	8.058322e+00
2.927604240341557e-02	7.653115e+00
2.929673541408820e-02	7.437989e+00
2.929722506782355e-02	7.432895e+00
2.929820437529424e-02	7.422706e+00
2.930016299023563e-02	7.402326e+00
2.930408022011841e-02	7.361556e+00
2.930961856946023e-02	7.303896e+00
2.931594630453811e-02	7.237990e+00
2.932502304321380e-02	7.143403e+00
2.933616601843956e-02	7.027204e+00
2.934738729879537e-02	6.910102e+00
2.936982985950701e-02	6.675641e+00
2.940889235950701e-02	6.266764e+00
2.944795485950701e-02	5.856944e+00
2.948701735950700e-02	5.446242e+00
2.952607985950700e-02	5.034719e+00
2.956514235950700e-02	4.622438e+00
2.960420485950700e-02	4.209462e+00
2.964326735950700e-02	3.795851e+00
2.968232985950700e-02	3.381668e+00
2.972139235950700e-02	2.966977e+00
2.976045485950700e-02	2.551838e+00
2.979951735950700e-02	2.136316e+00
2.983857985950700e-02	1.720471e+00
2.987764235950700e-02	1.304367e+00
2.991670485950700e-02	8.880673e-01
2.995576735950699e-02	4.716335e-01
2.999482985950699e-02	5.512872e-02
3.003389235950699e-02	-3.613844e-01
3.007295485950699e-02	-7.778431e-01
3.011201735950699e-02	-1.194185e+00
3.015107985950699e-02	-1.610346e+00
3.019014235950699e-02	-2.026266e+00
3.022920485950699e-02	-2.441880e+00
3.026826735950699e-02	-2.857126e+00
3.030732985950699e-02	-3.271942e+00
3.034639235950699e-02	-3.686265e+00
3.037237289949750e-02	-3.961529e+00
3.039699721575585e-02	-4.222180e+00
3.041825757356953e-02	-4.447021e+00
3.044068750099999e-02	-4.684015e+00
3.047962810164086e-02	-5.094901e+00
3.050898415242619e-02	-5.404154e+00
3.054069864835690e-02	-5.737735e+00
3.057511455770548e-02	-6.099085e+00
3.057999737020548e-02	-6.150295e+00
3.058976299520548e-02	-6.252672e+00
3.060929424520548e-02	-6.457249e+00
3.063147161944459e-02	-6.689247e+00
3.070959661944458e-02	-7.503851e+00
3.075423947658744e-02	-7.967567e+00
3.079888233373030e-02	-8.429490e+00
3.084352519087315e-02	-8.889620e+00
3.088816804801601e-02	-9.347956e+00
3.093281090515887e-02	-9.804499e+00
3.097745376230172e-02	-1.025925e+01
3.102209661944458e-02	-1.071220e+01
3.110022161944458e-02	-1.149936e+01
3.117834661944457e-02	-1.227959e+01
3.118322943194457e-02	-1.232811e+01
3.119299505694458e-02	-1.242507e+01
3.120604846515976e-02	-1.255449e+01
3.121888390774696e-02	-1.268155e+01
3.123627581720493e-02	-1.285338e+01
3.126282227568543e-02	-1.311491e+01
3.128776318379392e-02	-1.335979e+01
3.156120068379391e-02	-1.598750e+01
3.172861139807963e-02	-1.754912e+01
3.189602211236534e-02	-1.905229e+01
3.206343282665105e-02	-2.049701e+01
3.223084354093676e-02	-2.188329e+01
3.239825425522247e-02	-2.321112e+01
3.256566496950818e-02	-2.448051e+01
