V1	I(D1)
-7.290000000000001e+01	-3.085018e-02
-7.280000000000000e+01	-3.075502e-02
-7.270000000000000e+01	-3.065987e-02
-7.259999999999999e+01	-3.056471e-02
-7.250000000000000e+01	-3.046955e-02
-7.240000000000001e+01	-3.037440e-02
-7.230000000000000e+01	-3.027924e-02
-7.220000000000000e+01	-3.018409e-02
-7.209999999999999e+01	-3.008893e-02
-7.200000000000000e+01	-2.999378e-02
-7.190000000000001e+01	-2.989862e-02
-7.180000000000000e+01	-2.980347e-02
-7.170000000000000e+01	-2.970831e-02
-7.159999999999999e+01	-2.961316e-02
-7.150000000000000e+01	-2.951800e-02
-7.140000000000001e+01	-2.942285e-02
-7.130000000000000e+01	-2.932770e-02
-7.120000000000000e+01	-2.923254e-02
-7.109999999999999e+01	-2.913739e-02
-7.100000000000000e+01	-2.904224e-02
-7.090000000000001e+01	-2.894709e-02
-7.080000000000000e+01	-2.885194e-02
-7.070000000000000e+01	-2.875678e-02
-7.059999999999999e+01	-2.866163e-02
-7.050000000000000e+01	-2.856648e-02
-7.040000000000001e+01	-2.847133e-02
-7.030000000000000e+01	-2.837618e-02
-7.020000000000000e+01	-2.828103e-02
-7.009999999999999e+01	-2.818588e-02
-7.000000000000000e+01	-2.809073e-02
-6.990000000000001e+01	-2.799558e-02
-6.980000000000000e+01	-2.790043e-02
-6.970000000000000e+01	-2.780528e-02
-6.959999999999999e+01	-2.771013e-02
-6.950000000000000e+01	-2.761498e-02
-6.940000000000001e+01	-2.751984e-02
-6.930000000000000e+01	-2.742469e-02
-6.920000000000000e+01	-2.732954e-02
-6.909999999999999e+01	-2.723440e-02
-6.900000000000000e+01	-2.713925e-02
-6.890000000000001e+01	-2.704410e-02
-6.880000000000000e+01	-2.694895e-02
-6.870000000000000e+01	-2.685381e-02
-6.859999999999999e+01	-2.675866e-02
-6.850000000000000e+01	-2.666352e-02
-6.840000000000001e+01	-2.656837e-02
-6.830000000000000e+01	-2.647323e-02
-6.820000000000000e+01	-2.637808e-02
-6.809999999999999e+01	-2.628294e-02
-6.800000000000000e+01	-2.618780e-02
-6.790000000000001e+01	-2.609265e-02
-6.780000000000000e+01	-2.599751e-02
-6.769999999999999e+01	-2.590237e-02
-6.759999999999999e+01	-2.580723e-02
-6.750000000000000e+01	-2.571208e-02
-6.740000000000001e+01	-2.561694e-02
-6.730000000000000e+01	-2.552180e-02
-6.719999999999999e+01	-2.542666e-02
-6.709999999999999e+01	-2.533152e-02
-6.700000000000000e+01	-2.523638e-02
-6.690000000000001e+01	-2.514124e-02
-6.680000000000000e+01	-2.504610e-02
-6.669999999999999e+01	-2.495096e-02
-6.659999999999999e+01	-2.485582e-02
-6.650000000000000e+01	-2.476068e-02
-6.640000000000001e+01	-2.466554e-02
-6.630000000000000e+01	-2.457041e-02
-6.619999999999999e+01	-2.447527e-02
-6.609999999999999e+01	-2.438013e-02
-6.600000000000000e+01	-2.428499e-02
-6.590000000000001e+01	-2.418986e-02
-6.580000000000000e+01	-2.409472e-02
-6.569999999999999e+01	-2.399959e-02
-6.559999999999999e+01	-2.390445e-02
-6.550000000000000e+01	-2.380932e-02
-6.540000000000001e+01	-2.371418e-02
-6.530000000000000e+01	-2.361905e-02
-6.519999999999999e+01	-2.352392e-02
-6.509999999999999e+01	-2.342878e-02
-6.500000000000000e+01	-2.333365e-02
-6.490000000000001e+01	-2.323852e-02
-6.480000000000000e+01	-2.314338e-02
-6.469999999999999e+01	-2.304825e-02
-6.459999999999999e+01	-2.295312e-02
-6.450000000000000e+01	-2.285799e-02
-6.440000000000001e+01	-2.276286e-02
-6.430000000000000e+01	-2.266773e-02
-6.419999999999999e+01	-2.257260e-02
-6.409999999999999e+01	-2.247747e-02
-6.400000000000000e+01	-2.238234e-02
-6.390000000000000e+01	-2.228722e-02
-6.380000000000000e+01	-2.219209e-02
-6.370000000000000e+01	-2.209696e-02
-6.360000000000000e+01	-2.200183e-02
-6.350000000000000e+01	-2.190671e-02
-6.340000000000000e+01	-2.181158e-02
-6.330000000000000e+01	-2.171646e-02
-6.320000000000000e+01	-2.162133e-02
-6.310000000000000e+01	-2.152621e-02
-6.300000000000000e+01	-2.143108e-02
-6.290000000000000e+01	-2.133596e-02
-6.280000000000000e+01	-2.124084e-02
-6.270000000000000e+01	-2.114571e-02
-6.260000000000000e+01	-2.105059e-02
-6.250000000000000e+01	-2.095547e-02
-6.240000000000000e+01	-2.086035e-02
-6.230000000000000e+01	-2.076523e-02
-6.220000000000000e+01	-2.067011e-02
-6.210000000000000e+01	-2.057499e-02
-6.200000000000000e+01	-2.047987e-02
-6.190000000000000e+01	-2.038475e-02
-6.180000000000000e+01	-2.028964e-02
-6.170000000000000e+01	-2.019452e-02
-6.159999999999999e+01	-2.009940e-02
-6.150000000000000e+01	-2.000429e-02
-6.140000000000000e+01	-1.990917e-02
-6.130000000000000e+01	-1.981406e-02
-6.120000000000000e+01	-1.971894e-02
-6.109999999999999e+01	-1.962383e-02
-6.100000000000000e+01	-1.952871e-02
-6.090000000000000e+01	-1.943360e-02
-6.080000000000000e+01	-1.933849e-02
-6.070000000000000e+01	-1.924338e-02
-6.059999999999999e+01	-1.914827e-02
-6.050000000000000e+01	-1.905316e-02
-6.040000000000000e+01	-1.895805e-02
-6.030000000000000e+01	-1.886294e-02
-6.020000000000000e+01	-1.876783e-02
-6.009999999999999e+01	-1.867272e-02
-6.000000000000000e+01	-1.857761e-02
-5.990000000000000e+01	-1.848251e-02
-5.980000000000000e+01	-1.838740e-02
-5.970000000000000e+01	-1.829229e-02
-5.959999999999999e+01	-1.819719e-02
-5.950000000000000e+01	-1.810209e-02
-5.940000000000000e+01	-1.800698e-02
-5.930000000000000e+01	-1.791188e-02
-5.920000000000000e+01	-1.781678e-02
-5.909999999999999e+01	-1.772168e-02
-5.900000000000000e+01	-1.762658e-02
-5.890000000000000e+01	-1.753148e-02
-5.880000000000000e+01	-1.743638e-02
-5.870000000000000e+01	-1.734128e-02
-5.859999999999999e+01	-1.724618e-02
-5.850000000000000e+01	-1.715109e-02
-5.840000000000000e+01	-1.705599e-02
-5.830000000000000e+01	-1.696089e-02
-5.820000000000000e+01	-1.686580e-02
-5.809999999999999e+01	-1.677071e-02
-5.800000000000000e+01	-1.667561e-02
-5.790000000000000e+01	-1.658052e-02
-5.780000000000000e+01	-1.648543e-02
